cat_level_1,price_segment,count,cat_total,share_in_cat
Amazon Devices,High,23,98,0.23469387755102042
Amazon Devices,Low,25,98,0.25510204081632654
Amazon Devices,Mid,50,98,0.5102040816326531
Amazon Renewed,High,25,100,0.25
Amazon Renewed,Low,25,100,0.25
Amazon Renewed,Mid,50,100,0.5
Appliances,High,25,100,0.25
Appliances,Low,25,100,0.25
Appliances,Mid,50,100,0.5
Apps,High,20,100,0.2
Apps,Low,36,100,0.36
Apps,Mid,44,100,0.44
Arts,High,25,100,0.25
Arts,Low,27,100,0.27
Arts,Mid,48,100,0.48
Audible Books,High,25,100,0.25
Audible Books,Low,27,100,0.27
Audible Books,Mid,48,100,0.48
Automotive,High,25,100,0.25
Automotive,Low,26,100,0.26
Automotive,Mid,49,100,0.49
Baby,High,25,100,0.25
Baby,Low,26,100,0.26
Baby,Mid,49,100,0.49
Beauty,High,25,99,0.25252525252525254
Beauty,Low,25,99,0.25252525252525254
Beauty,Mid,49,99,0.494949494949495
Books,High,25,100,0.25
Books,Low,25,100,0.25
Books,Mid,50,100,0.5
CDs,High,19,100,0.19
CDs,Low,27,100,0.27
CDs,Mid,54,100,0.54
Camera,High,25,99,0.25252525252525254
Camera,Low,26,99,0.26262626262626265
Camera,Mid,48,99,0.48484848484848486
Cell Phones,High,25,100,0.25
Cell Phones,Low,25,100,0.25
Cell Phones,Mid,50,100,0.5
Clothing,High,21,98,0.21428571428571427
Clothing,Low,26,98,0.2653061224489796
Clothing,Mid,51,98,0.5204081632653061
Collectible Coins,High,24,97,0.24742268041237114
Collectible Coins,Low,26,97,0.26804123711340205
Collectible Coins,Mid,47,97,0.4845360824742268
Computers,High,25,100,0.25
Computers,Low,25,100,0.25
Computers,Mid,50,100,0.5
Electronics,High,25,99,0.25252525252525254
Electronics,Low,25,99,0.25252525252525254
Electronics,Mid,49,99,0.494949494949495
Entertainment Collectibles,High,16,82,0.1951219512195122
Entertainment Collectibles,Low,21,82,0.25609756097560976
Entertainment Collectibles,Mid,45,82,0.5487804878048781
Gift Cards,High,14,97,0.14432989690721648
Gift Cards,Low,51,97,0.5257731958762887
Gift Cards,Mid,32,97,0.32989690721649484
Grocery,High,23,93,0.24731182795698925
Grocery,Low,24,93,0.25806451612903225
Grocery,Mid,46,93,0.4946236559139785
Handmade Products,High,25,100,0.25
Handmade Products,Low,27,100,0.27
Handmade Products,Mid,48,100,0.48
Health,High,25,100,0.25
Health,Low,25,100,0.25
Health,Mid,50,100,0.5
Home,High,24,99,0.24242424242424243
Home,Low,27,99,0.2727272727272727
Home,Mid,48,99,0.48484848484848486
Industrial,High,25,100,0.25
Industrial,Low,25,100,0.25
Industrial,Mid,50,100,0.5
Kindle Store,High,23,100,0.23
Kindle Store,Low,29,100,0.29
Kindle Store,Mid,48,100,0.48
Kitchen,High,25,98,0.25510204081632654
Kitchen,Low,25,98,0.25510204081632654
Kitchen,Mid,48,98,0.4897959183673469
Movies,High,25,100,0.25
Movies,Low,27,100,0.27
Movies,Mid,48,100,0.48
Musical Instruments,High,25,98,0.25510204081632654
Musical Instruments,Low,25,98,0.25510204081632654
Musical Instruments,Mid,48,98,0.4897959183673469
Office Products,High,23,100,0.23
Office Products,Low,25,100,0.25
Office Products,Mid,52,100,0.52
Patio,High,25,100,0.25
Patio,Low,25,100,0.25
Patio,Mid,50,100,0.5
Pet Supplies,High,25,100,0.25
Pet Supplies,Low,27,100,0.27
Pet Supplies,Mid,48,100,0.48
Software,High,25,100,0.25
Software,Low,25,100,0.25
Software,Mid,50,100,0.5
Sports,High,25,100,0.25
Sports,Low,28,100,0.28
Sports,Mid,47,100,0.47
Sports Collectibles,High,25,99,0.25252525252525254
Sports Collectibles,Low,25,99,0.25252525252525254
Sports Collectibles,Mid,49,99,0.494949494949495
Tools,High,25,100,0.25
Tools,Low,27,100,0.27
Tools,Mid,48,100,0.48
Toys,High,24,97,0.24742268041237114
Toys,Low,25,97,0.25773195876288657
Toys,Mid,48,97,0.4948453608247423
Unique Finds,High,4,15,0.26666666666666666
Unique Finds,Low,4,15,0.26666666666666666
Unique Finds,Mid,7,15,0.4666666666666667
Video Games,High,23,99,0.23232323232323232
Video Games,Low,26,99,0.26262626262626265
Video Games,Mid,50,99,0.5050505050505051
